Animal,Sex,First_Reproduction,Mass (kg),Type,,,,,,,,,
Pan trogodytes schweinfurthii,F,14,31.3,P,,,,,,,,,
Acinonyx jubatus jubatus,F,2.4,37.2,N,,,,,,,,,
Gorilla gorilla gorilla,F,9.9,71.5,P,,,,,,,,,
Elephas maximus,M,9,3178,N,,,,,,,,,
Loxodonta africana,M,20,5750,N,,,,,,,,,
Macropus giganteus,M,3.53,66,N,,,,,,,,,
Macropus giganteus,F,1.84,36,N,,,,,,,,,
Macropus fuliginosus,F,1.8,25.8,N,,,,,,,,,
Macropus fuliginosus,M,2.41,48.8,N,,,,,,,,,
Wallabia bicolor,M,1.17,22,N,,,,,,,,,
Wallabia bicolor,F,1.23,13,N,,,,,,,,,
Macropus rufogriseus,F,1.13,14,N,,,,,,,,,
Microcebus murinus,F,0.82,0.057,P,,,,,,,,,
Microcebus murinus,M,0.67,0.0669,P,,,,,,,,,
Mirza coquereli,M,0.753,0.3,P,,,,,,,,,
Mirza coquereli,F,0.942,0.0311,P,,,,,,,,,
Microcebus rufus,M,0.67,0.04,P,,,,,,,,,
Microcebus rufus,F,0.82,0.069,P,,,,,,,,,
Cheirogaleus medius,F,1.13,0.0248,P,,,,,,,,,
Cheirogaleus major,F,1.15,0.42,P,,,,,,,,,
Bison bison,M,5,682,N,,,,,,,,,
Bison bison,F,3,498.8,N,,,,,,,,,
Ovis aries,F,1,19.8,N,,,,,,,,,
Theropithecus gelada,F,4,11.472,P,,,,,,,,,
Theropithecus gelada,M,6,26.1,P,,,,,,,,,
Mandrillus sphinx,F,4.6,9,P,,,,,,,,,
,,,,,,,,,,,,,
